epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
110,9225.72,0.55023,0.37518,0.95562,0.80658,0.77037,0.7474,0.56099,1.00286,0.84734,1.04097,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,9309.63,0.55306,0.38956,0.95642,0.83851,0.77156,0.75302,0.56846,0.99442,0.82269,1.05616,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,9393.25,0.55359,0.37976,0.95111,0.8632,0.76027,0.76105,0.57797,0.99312,0.82248,1.05903,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,9476.89,0.5462,0.38326,0.95438,0.86183,0.751,0.76943,0.57797,0.96429,0.78154,1.04406,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,9560.61,0.53644,0.37639,0.94986,0.83995,0.75875,0.7713,0.58062,0.98848,0.8259,1.03061,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,9644.38,0.55517,0.38125,0.9509,0.83965,0.75707,0.75359,0.57895,1.00903,0.82495,1.03129,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,9727.94,0.54191,0.37779,0.95224,0.85114,0.75779,0.74628,0.57038,0.99942,0.8361,1.04305,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,9811.68,0.54288,0.37497,0.94966,0.86422,0.74699,0.7607,0.57472,1.00162,0.84209,1.03242,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,9895.44,0.54429,0.374,0.95129,0.87195,0.7657,0.77155,0.5807,0.9762,0.82356,1.03908,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,9979.22,0.5429,0.36523,0.94541,0.88303,0.74297,0.77765,0.59556,0.96765,0.79882,1.03229,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,10062.8,0.54852,0.37213,0.94952,0.8565,0.76707,0.77543,0.5895,1.00101,0.8428,1.04816,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,10146.6,0.53051,0.3648,0.94801,0.85207,0.76339,0.77282,0.58367,0.98953,0.82603,1.03325,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,10230.3,0.53307,0.3614,0.94629,0.85026,0.76707,0.76699,0.57367,0.97721,0.84726,1.04857,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,10314.1,0.52941,0.36086,0.93752,0.87241,0.77108,0.77469,0.58848,0.95387,0.79058,1.04517,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,10397.6,0.52701,0.35825,0.94634,0.85373,0.77355,0.78105,0.58879,0.95097,0.79664,1.04007,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,10481.4,0.54131,0.37128,0.95085,0.88367,0.76268,0.78532,0.59104,0.97459,0.7803,1.04267,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,10565,0.52181,0.35356,0.93942,0.86669,0.77108,0.77926,0.58894,0.94459,0.80189,1.01611,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,10648.6,0.53945,0.35631,0.94538,0.83804,0.76889,0.77294,0.59117,0.92847,0.81335,1.01351,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,10732.2,0.52085,0.34999,0.93932,0.82759,0.77111,0.75987,0.58097,0.92566,0.84224,1.0222,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,10815.9,0.52719,0.35396,0.94405,0.84977,0.75502,0.75534,0.57907,0.9281,0.83498,1.03129,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,10899.6,0.5197,0.34846,0.93833,0.8331,0.74699,0.74783,0.57114,0.94265,0.86738,1.02616,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,10983.4,0.50837,0.35565,0.93555,0.84911,0.75904,0.75916,0.58353,0.96272,0.84074,1.02376,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,11067,0.52189,0.36145,0.94387,0.82983,0.78335,0.76443,0.5821,0.96441,0.85399,1.01866,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,11150.9,0.52415,0.35736,0.94241,0.86164,0.75028,0.76934,0.58538,0.9666,0.81343,1.00179,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,11234.6,0.52438,0.3585,0.93853,0.83664,0.77108,0.76067,0.57231,0.97633,0.84991,1.03791,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,11318.3,0.51656,0.34846,0.94287,0.83123,0.76707,0.77233,0.58167,1.00544,0.83802,1.05701,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
