epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
108,13936.3,0.37069,0.38052,0.20984,0.85778,0.77912,0.7972,0.62999,0.30538,0.48689,0.28122,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,14199.3,0.33606,0.37134,0.1904,0.84173,0.7992,0.80417,0.62922,0.32638,0.45111,0.31737,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,14461.1,0.34563,0.37292,0.18758,0.83398,0.78678,0.80029,0.61644,0.31828,0.50885,0.29469,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,14726.6,0.36982,0.38835,0.20349,0.87197,0.76707,0.80711,0.62667,0.31745,0.50193,0.26513,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,14992,0.35191,0.37865,0.19863,0.87745,0.74699,0.80222,0.63358,0.31016,0.50421,0.27339,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,15256.6,0.34625,0.38,0.19493,0.86097,0.75904,0.79556,0.61921,0.33253,0.48368,0.29367,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,15520.6,0.33794,0.36893,0.18544,0.86833,0.78715,0.79988,0.62166,0.30981,0.4836,0.29628,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,15784.8,0.33717,0.3563,0.18283,0.87166,0.77912,0.81017,0.62309,0.32397,0.50085,0.28711,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,16048,0.33713,0.37298,0.18633,0.85,0.77376,0.79989,0.60816,0.34562,0.50491,0.27238,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,16308.4,0.32173,0.35455,0.18019,0.8443,0.78313,0.80455,0.62628,0.32231,0.4733,0.30336,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,16571.4,0.34778,0.36218,0.18807,0.84267,0.80321,0.80201,0.61966,0.3068,0.50152,0.26836,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,16832.4,0.33811,0.36169,0.18614,0.85589,0.7751,0.8008,0.62865,0.30367,0.49018,0.27928,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,17089.7,0.32498,0.36505,0.18626,0.8541,0.77581,0.80762,0.6268,0.29837,0.53304,0.26621,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,17353.4,0.32275,0.35769,0.18523,0.86435,0.79332,0.82033,0.62579,0.31666,0.49279,0.27515,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,17615.9,0.34734,0.36324,0.18517,0.88028,0.80321,0.82161,0.64169,0.32429,0.4736,0.27366,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,17879.8,0.32618,0.35987,0.17453,0.86698,0.78529,0.79225,0.62506,0.3091,0.49086,0.2839,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,161.927,0.49263,1.59079,0.46406,0.89658,0.73117,0.80909,0.65052,0.28199,0.53486,0.20672,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,322.923,0.38236,0.54516,0.29126,0.8935,0.751,0.8263,0.67499,0.27286,0.47006,0.21084,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,483.834,0.39265,0.51551,0.28659,0.90489,0.72598,0.82367,0.66333,0.28048,0.47399,0.21857,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,643.707,0.36881,0.51069,0.2619,0.85183,0.76191,0.82734,0.6626,0.27845,0.47114,0.19879,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,805.594,0.373,0.49984,0.25916,0.89782,0.75502,0.84423,0.67499,0.27357,0.47094,0.20996,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,968.239,0.35957,0.48364,0.25479,0.91041,0.7346,0.84149,0.66174,0.27914,0.47283,0.20276,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,1129.61,0.35501,0.48807,0.25006,0.8758,0.76463,0.83271,0.67892,0.26837,0.46536,0.20809,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,1290.32,0.35836,0.48681,0.25056,0.86751,0.76258,0.82872,0.66605,0.27413,0.46454,0.2015,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,1450.93,0.35787,0.47726,0.24103,0.89342,0.77432,0.83667,0.67788,0.25879,0.4582,0.20198,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,1610.92,0.35528,0.46364,0.24366,0.86204,0.75281,0.83682,0.67574,0.26305,0.46218,0.19886,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,1770.72,0.34382,0.46302,0.23461,0.87095,0.76707,0.83628,0.67237,0.27175,0.45427,0.20279,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,1931.49,0.34811,0.45408,0.23326,0.85144,0.77912,0.84036,0.67442,0.27064,0.45338,0.19947,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
